jobtitle,company,location,jobsnippet,salary,companyrating,href
EMBEDDED SYSTEMS ENGINEER (ENTRY/MID/SENIOR),"Aero Simulation, Inc.","Tampa, FL","The Embedded Systems Engineer will apply engineering principles to research, analyze, plan, design, develop, implement, and test aircraft electrical, computer,…",Estimated: $78.7K - $99.7K a year,3.6 ,simplyhired.com/job/Nc3x6vbiFAoojN30al6_FT2NJfs3lPlLY2KBFRviisv8jLHtuIQzOw
Senior Software Engineer - C2 Infrastructure,Raytheon Missiles & Defense,"Fullerton, CA","Typically requires Bachelor’s in in Computer Engineering, Computer Science, Software Engineering, Mathematics, Physics, Electrical Engineering, or other related…",N/A,3.7 ,simplyhired.com/job/OlD9SGc3wbQWS3GRLiH9sYs6YP_2wKJg8cyPXqE5hMge5IsAtBSyRg
"Senior Principal Multi-Disciplined (Analog, Digital, Mixed Signal, or Power Design) Electrical Engineer (Hybrid)",Raytheon Missiles & Defense,"Portsmouth, RI","Requirements analysis and decomposition, sub-system and circuit design, modeling, simulation and design verification test. Experience in a DoD environment.",N/A,3.7 ,simplyhired.com/job/HxNwwg2SVKHb5UNdmUIwVYWj6O5JQbNyQUSlTVYWwPo5ww6UEyI0-A
Minimum $20k Sign-On Bonus** Senior Opto-Mechanical Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Experience in opto-mechanical design and analysis of imagers, afocals, gimbals, or focus and field-of-view switching mechanisms.",N/A,3.7 ,simplyhired.com/job/CH0ZwHzV5vls8KtUznjrvv0h3DSPVmqpCPtGfI-u07yLbedbvkPl_A
Senior Cybersecurity Engineer,Liberty Mutual Insurance,Remote,"Be a member of an agile team focused on analysis, system design, documentation, testing, implementation and support for highly complex security operations and…","$128,500 - $166,300 a year",3.6 ,simplyhired.com/job/HqN-uU8uQTZ3AJtpzFmgs8bZ-syg660QpJWYu4TgyWsf_E2piZX-LQ
Sr. Mechanical Engineer,Mercury Systems,"Oxnard, CA","Responsible for the design, development, analysis and documentation of mechanical systems for new and existing products Specifically, electro-mechanical…","Estimated: $92,000 - $149,000 a year",3 ,simplyhired.com/job/a-QO_27UEGrsNiwv0cXuS3P-V07K86o77J4dbZEVgPMPyDbbPIDjUg
"Senior Software Engineer, Golang (Remote)",Home Depot / THD,"Atlanta, GA","The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to…","$180,000 a year",3.7 ,simplyhired.com/job/zI3jIl3o5ujhQ-ZV7gHytPb4DG_vesM18voDmcIuf5GXQXJ2SaPfnw
DevOps Site Reliability Engineer,Reynolds and Reynolds,"Houston, TX","Responsibilities will include collecting system requirements; improving existing tools and processes through scripting and automation; and building, deploying,…",Estimated: $64.8K - $82.1K a year,3.2 ,simplyhired.com/job/syHH5LtHdrDxWYZTaPtFCYGtlZQkx701jus42khBB7HWWNsNZgwBXA
Cloud AKS Platform Engineer (ISD Engineer IV),Navy Federal Credit Union,Remote,"A Bachelor's Degree in Computer Applications, Computer Science, Engineering, Mathematics, related field, or equivalent experience.","$101,000 - $185,200 a year",3.9 ,simplyhired.com/job/5mDkTVuAoDf3yddB1ZnwDi__r1RvwLZBn-b-YaNH37r6imQiB0r89A
Minimum $20k Sign-On Bonus** Senior Cryogenics Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Assignments may include design and analysis of high-pressure gas supply assemblies, Joule-Thompson coolers, Stirling coolers, Dewar design, Ultra High Vacuum …",N/A,3.7 ,simplyhired.com/job/wL4mOXl-iuh6yDSgbVpnk-VxBvLsF5E9X2Cx6pNy0HT-Ir-nsBdYBw
Senior Systems Engineer – Systems Test Engineer,Raytheon Missiles & Defense,"Andover, MA","To accomplish this, we develop plans and procedures, debug and evaluate system functions and interfaces, develop test environments, and work hand-in-hand with…",N/A,3.7 ,simplyhired.com/job/s8n252QHRKWKTI53XUWZe6ySJznkkItBOZtSrxe1gKL8f2EJkoxxRA
"Senior Software Configuration Management Engineer - Tewksbury, MA",Raytheon Missiles & Defense,"Tewksbury, MA","Proven experience with configuration management concepts and implementation. SWCM provides innovative solutions through automation, continuous improvement, and…",N/A,3.7 ,simplyhired.com/job/LYPsMGx6K3YxgpFPs_hGGnjOIM7ByuzEu5E4F0k52EkoABNplK6s9Q
Sr Electrical Engineer Failure Analysis,Raytheon Missiles & Defense,"Andover, MA","The position requires the knowledge and understanding of electrical schematics, circuit analysis, digital processing, RF analysis, die level analysis, and the…",N/A,3.7 ,simplyhired.com/job/UQ6kOjof_YvjJQDxvBweVA_Egyjn4VEEptPs-iZDJCE3rMIaCn9TRg
Senior RF Microwave Engineer,Raytheon Missiles & Defense,"Andover, MA","MS in Electrical Engineering or related science or engineering field. In the Test Characterization section of AMSD, the candidate will be responsible for…",N/A,3.7 ,simplyhired.com/job/JeeipQpYQkPEP1_z0v_w6Xhe5FUADAfcg97KrmqQ2Ptb8eJDQNNQ3w
Associate Civil Engineer - Transportation Infrastructure,Parsons,"Ontario, CA",Performs various engineering and design assignments requiring the application of basic principles and fundamental theories studied in a four-year university…,Estimated: $23.27 - $40.72 an hour,3.9 ,simplyhired.com/job/nIblPhykfYsHe9iyUcBATmiJbLYg3aSWf58G0LL037BQojsAXJFlaQ
"Senior Multi-Disciplined Electrical Engineer (Analog, Digital, Mixed Signal, or Power Design)",Raytheon Missiles & Defense,"Portsmouth, RI","Requirements analysis and decomposition, sub-system and circuit design, modeling, simulation and design verification test. Experience in a DoD environment.",N/A,3.7 ,simplyhired.com/job/m1qcP_xtJZ6-ISpyoSvVajlp_3UJS1ve6qGp8JIgQ1RJpCKvD7Htdw
Senior Process Engineer,Sterling Hoffman,"Austin, TX","Identify opportunities, develop insights, stimulate new ideas, and implement process improvements in collaboration with manufacturing, engineering, other…",Estimated: $92.1K - $117K a year,4 ,simplyhired.com/job/mvOCIicd8xGlPJKrNDKWogH5THeWRZFnSwCgpQa5me5Xjbnf8N3aGQ
Sr. Systems Sustainment Engineer HYBRID,Raytheon Missiles & Defense,"Huntsville, AL",Define and promote technical strategies for long-term product sustainment via such tasks as reliability analysis and system safety analysis.,N/A,3.7 ,simplyhired.com/job/WHLttOfiwZYsOUEgVus89y5ldPmO0qY4SchZ4l5ITLSr19WBvJXrlA
Cloud Site Reliability Engineer (ISD Engineer III),Navy Federal Credit Union,Remote,Excellent communication and coordination skills to interact with different stakeholders who are technical and non-technical. WayUp Top 100 Internship Programs.,"$83,100 - $156,100 a year",3.9 ,simplyhired.com/job/LWBNXy3lqGopbgBSytvdZSS25Bn_YznQkTIBwlGAsPo-r1WV_f2ZUQ
Senior Software Engineer - Remote,Liberty Mutual Insurance,Remote,"Solid programming discipline: unit testing, fault tolerance, data structures, complexity analysis, object-oriented principles, design patterns, etc.","$117,500 - $166,300 a year",3.6 ,simplyhired.com/job/uLLXNbvWxbvDTynJc1m5ZmaO2f3k-_TPbCRPvhj1KlykdyhX6iEc-g
Software Engineer Senior Manager (Remote),Home Depot / THD,"Atlanta, GA","The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to…","$280,000 a year",3.7 ,simplyhired.com/job/ZnJXMFPH3e6KwUNFYWnUBllbZFQb91s0PU7Q7LOoUDwJD__G1ylwWA
BP68CSWE0 - Entry Level Cloud Software Engineer - Cleared,NiSUS Technologies Corporation,"Annapolis Junction, MD","A bachelor’s degree in computer science or relevant field. Provide cloud software research, development, and engineering services to include requirements…",Estimated: $100K - $127K a year,N/A,simplyhired.com/job/npErMKs4EJtj6vMHcKo9bAE3Q568qLswhTgYqfW-fy87E9h3mnmIjw
Entry-Level Site/Infrastructure Civil Engineer,Brown and Caldwell,"Seattle, WA","Valid driver’s license and good driving record required. In this position, you will be responsible for providing support for the civil design effort on small to…",Estimated: $66.7K - $84.4K a year,3.9 ,simplyhired.com/job/Bt2KcxU2KMRLUSkaD-DIzZYWpkzDgct9RbAa7Ct39VKofKswakGvqQ
Senior Software Integration Engineer,Raytheon Missiles & Defense,"Marlborough, MA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. An advanced degree in a related field may be substituted for…",N/A,3.7 ,simplyhired.com/job/KM2bwsqr3cb5Sv2idu4WGBE_rg3eHbfXGkRbpHJXHR4YlGgSNmlBbg
Minimum $40k Sign-on Bonus** - Sr. Hypersonics Airbreathing Propulsion Engineer,Raytheon Missiles & Defense,"Tucson, AZ","The propulsion engineer is responsible for the design and development of the hypersonic propulsion system including leading engine design, analysis,…",N/A,3.7 ,simplyhired.com/job/KG9aScLDmMoaQUWUJPT-shoHZkzBhC1GJ-KjZkp_uyl6N7ayEVVzoA
Senior Systems Engineer - Radar Simulation,Raytheon Missiles & Defense,"Tewksbury, MA",As part of the Modeling & Sim team within the A&S Directorate you will have a hand in developing and maintaining high fidelity performance simulations …,N/A,3.7 ,simplyhired.com/job/UL6AgS5SaNYs5xDLRalhxQsR1xvNc5ctN76OUukwP2Ta_wlSfOs4oQ
Software Configuration Management/Devops Engineer - New Graduate Program,Thales,"Irvine, CA","Experience with Azure, AWS, Docker, CI tools, and configuration management tools. The candidate should have sufficient technical skills to support design and…","Estimated: $80,000 - $84,000 a year",3.9 ,simplyhired.com/job/vT-nSj5iHA7odOzChCLGTbb9IV9bJm6abKrS0FLf5dUrALbCbvhfxg
Senior Level Engineer (Engineer 5),HII,"Hampton, VA",15 years relevant experience with Bachelors in related field; 13 years relevant experience with Masters in related field; or 10 years relevant experience with…,Estimated: $109K - $138K a year,3.7 ,simplyhired.com/job/U04M3wtwXX0STzyO4dHGrWA68XjpPOVE70Q2sSuSvqYKfFQj7uRGSQ
Staff (Entry Level) Engineer or Architect,WDP & Associates Consulting EN,"Manassas, VA",You must be authorized to work in the United States and possess a valid driver’s license with acceptable driving history over the past 3 years.,Estimated: $46.5K - $58.9K a year,N/A,simplyhired.com/job/3YUSpC3aULdMp-IPnr-dG4lUsP24euzchnE164IYMGfFXGUWot2_3Q
Senior Fire Protection Engineer,Liberty Mutual Insurance,"Louisville, KY","Advanced knowledge, skills and experience in a specialized field, service planning and delivery, risk assessment, risk analysis, solutions management and…","$82,000 - $153,000 a year",3.6 ,simplyhired.com/job/nsCKBRldmsBC3zgroQ2oibYr2vsAVyjgmqrCOCC-gQTpfmTXHOBVWg
SR SOFTWARE ENGINEER,Home Depot / THD,"Atlanta, GA","Experience with front end technology such as HTML, CSS, and Javascript/Typescript frameworks, an object-oriented programming language (preferably Java),…","$120,000 a year",3.7 ,simplyhired.com/job/ppbc2s_yqNFLmvHnmWWBlTSOm7rS6zr7QkLTslFS_vDiXaQx7goAjg
Minimum $40k Sign-On Bonus** Senior Principal Opto-Mechanical Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Experience in opto-mechanical design and analysis of imagers, afocals, gimbals, or focus and field-of-view switching mechanisms.",N/A,3.7 ,simplyhired.com/job/Li0GyOrL4F8YCenOP5aQWW5B1tL5yzhCV1IcMlAcCaXc3zLwbxPkxQ
Senior Systems Engineer (CLS),Raytheon Missiles & Defense,"Woburn, MA","In this role, you will perform analysis and reporting of radar performance and maintenance support developing troubleshooting and corrective action plans for a…",N/A,3.7 ,simplyhired.com/job/p4_Z1TlP_R-VSx02U-9MInNnSwn7uxWajndZd2PeOxk3xp7w-TU1MA
Minimum $20k Sign-On Bonus* Senior Test Engineer - Circuit Card Testing,Raytheon Missiles & Defense,"Tucson, AZ","Working with a team of engineers performing electrical tests and troubleshooting on subassemblies, assemblies, and systems for conformance to specifications.",N/A,3.7 ,simplyhired.com/job/48DhRtml7oAEJ6FOTjGzRfjz8JFstRMZCc_v85DOLZNqDzINbcISOg
Minimum $40k Sign-on Bonus** Sr. Principal Engineer - Liquid Propulsion,Raytheon Missiles & Defense,"Tucson, AZ","Apply or develop highly advanced technical technologies, scientific principles, theories and concepts to the systems integration of propulsion, thrusters,…",N/A,3.7 ,simplyhired.com/job/nqVRgLZU11W9l-8FULLjgwSUZCLnIKrnMlr9Cn6RW6p9Cj5Wa62RUQ
Senior Manufacturing Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Provide technical input and peer review to engineering design changes. Typically requires a Bachelor’s in Science, Technology, Engineering, or Mathematics (STEM…",N/A,3.7 ,simplyhired.com/job/OnnPHlcbTkJzvporGWcpKXrjVR7AXVs6nkkb6PBGQAxWcPrl5AuoXA
Senior Aerospace Quality Engineer,Mercury Systems,"Phoenix, AZ","Bachelor's Degree in a technical field, preferably Industrial Engineering, Electrical Engineering, or Software Engineering.",Estimated: $85.1K - $108K a year,3 ,simplyhired.com/job/USgHONjKqE-K4j9EsfuaIDzV8OnlErSuOCLE2-bwbC6BqejKbiz0zw
Minimum $20k Sign-On Bonus** Senior Optical Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ","We are looking for a Senior Optical Design Engineer who willing to collaborate, innovate, and team with our opto-mechanical, detector and cryo engineers to…",N/A,3.7 ,simplyhired.com/job/KiOV-WkWMxfb9QePAJSLiB5KiMCtEkNNAWvj1oUbP143mJbtdGO6dg
Principal Software Engineer - C2 Infrastructure,Raytheon Missiles & Defense,"Fullerton, CA","Responsibilities include platform solution architecture and design, COTS/FOSS installation, configuration, integration, and testing, automation of software…",N/A,3.7 ,simplyhired.com/job/pAg5AOMdhA4hwHaJ3qUdqottU7ZvW8CPeRfVdNQfDwaJPaa4fbiv0Q
"Senior Systems Engineer - Modeling, Simulation & Analysis",Raytheon Missiles & Defense,"Marlborough, MA","The Senior Systems Engineer - Modeling, Simulation, and Analysis will work within a multi-discipline team (e.g. signal processing, mechanical design, electrical…",N/A,3.7 ,simplyhired.com/job/ZHa2gvbdpby7ACGsvgbYurMkT-b2nuujK61tBUyDtNRtzYqJZKiBAg
Senior Software Engineer - Supply Chain Delivery Sourcing(Remote),Home Depot / THD,"Atlanta, GA","Experience with front end technology such as HTML, CSS, and Javascript/Typescript frameworks, an object-oriented programming language (preferably Java),…","$180,000 a year",3.7 ,simplyhired.com/job/_-iKC8Mr94PN2p0qUJTzU8eQlh-TO2M83D4ui9tf_ilN3EpSjKn4hw
Sr. Cell Engineer,Tesla,"San Diego, CA",Perform cell failure root-cause analysis and implement learnings to improve cell reliability and performance. Oversee current pouch cell assembly process.,Estimated: $104K - $131K a year,3.4 ,simplyhired.com/job/BeSyOqe9hF_g9cN8KTC8aS78GaT9wNTtnWWQln5k0KqrBs7Di2k3fw
Sr. Software Development Engineer,"Advanced Micro Devices, Inc","San Jose, CA","Xilinx, Inc., a subsidiary of AMD, Inc., is hiring Sr. Software Development Engineers to research, design, develop, and/or test operating systems-level software…",Estimated: $115K - $146K a year,3.8 ,simplyhired.com/job/Ee8_MoVP4Tt6NgseQb1l18ykDoqFo-1pXl6Isor_mJrxtVmrLQiKDA
"Senior Backend Software Engineer, Global E-commerce Governance and Experience",TikTok,"Seattle, WA","Deep understanding of data structure, algorithm design and analysis, networking, data security and highly scalable systems design.","Estimated: $175,750 - $266,000 a year",3.4 ,simplyhired.com/job/df7w_8J_JMZaJy9YL9KpXnY6KdhqM2XNVPtl3-vUQWRryhFZBSTlmw
Sr. Big Data Engineer,HCL Global Systems Inc,"Farmington Hills, MI","Design and develop Data ingestion products to migrate RDBMS data warehouse data into Enterprise Data Lake with frame works programmed using Shell scripts,…",Estimated: $86.2K - $109K a year,4.5 ,simplyhired.com/job/II_hKahcIW3UUkPL0MSL00lunD7VUPKu9ucQqCGBLlONrt7HliDvJw
Cloud Application Developer,Navy Federal Credit Union,"Vienna, VA","To provide day-to-day support, design, develop, implement, and maintain new IT solutions for assigned Navy Federal development efforts in compliance with NFCU…","$72,300 - $135,700 a year",3.9 ,simplyhired.com/job/4Fe731iVEp0RndWVufApCAlFtYXLqS-21U-fSnL7B-XFCs1gDhmK8Q
"Senior Software Engineer C++, C, Java",Raytheon Missiles & Defense,"Fullerton, CA","KEYWORDS: software engineering, java, c, c++, ada, vxworks, matlab, real-time, embedded, radar, linux, agile, scrum, object-oriented design, devops, devsecops,…",N/A,3.7 ,simplyhired.com/job/sFkL_BbI0UjlQUXuk1zzlnE73UMVOu2p-D-7rcYVkdUPw1qnqILC5w
Senior Electrical Engineer: Antenna and RF Design,Raytheon Missiles & Defense,"Tewksbury, MA",We have an opportunity for an electrical engineer who is seeking to utilize their strong academic background and experience in RF/Microwave system theory and…,N/A,3.7 ,simplyhired.com/job/6bbtXmzEAnG25bIUi79k4xMvZoAkKY1EvtG56YIIP4HVkriWrAPwlg
Senior Manufacturing Engineer - Paint,Cummins Inc.,"Rocky Mount, NC","This entry level technical management position develops and delivers technical talent in a research, technology or product development environment.",Estimated: $79K - $100K a year,3.8 ,simplyhired.com/job/2bUeh_h2oacGlBQAY6EAcdXygKdyxukkyjqvTw4woOP4AS3tX63Ddg
"Senior Frontend Software Engineer, Global E-Commerce Data Intelligence",TikTok,"Seattle, WA","Collaborate with product design, product management and software engineering teams to deliver best in class user experience.","Estimated: $175,750 - $266,000 a year",3.4 ,simplyhired.com/job/d7RQScDyuSKHiaEnHmeBIhctZcliYPi5F-QYRLFPSS-a1b_rms7TFQ
Power Systems Network Model Engineer I/II/III/Sr.,ERCOT/Electric Reliability Council of Texas,"Austin, TX",Provides electrical engineering analysis and technical support for the planning and operation of the electric power system.,Estimated: $86.5K - $110K a year,3.7 ,simplyhired.com/job/GIYLItYjCyAMMxb5x9FCEa4btWr1DUIioFOR7emCKjMc51ajJg56dg
Senior Low Observables Materials Engineer,Raytheon Missiles & Defense,"Tucson, AZ",_An advanced degree in a related field may be substituted for 3 additional years of experience._. _A Ph.D. degree in a related field may be substituted for 5…,"Estimated: $95,000 - $135,000 a year",3.7 ,simplyhired.com/job/S3hpXO9RaVTuVCLUiYr-5PDzf5pBZzPuH_lq_UyiwpAfz7VP6uzq3A
"Sr Software Engineer, Application Security",Uber,"Seattle, WA","This is a unique opportunity to work with both senior and new-grad engineers, make a real impact on Uber’s security posture, and continue to up-level your own…","Estimated: $174,000 a year",3.6 ,simplyhired.com/job/Mus9y_Dr11Q9jhJ5p_AlgZz_wDuhwcI_1CU3NrjrwDtL0MTcJchemg
Senior Electrical Engineer - CCA Design - HYBRID - SC5,Raytheon Missiles & Defense,"Marlborough, MA",Experience using engineering CAD tools such as Mentor Graphics Xpedition Designer for the design of complex circuit board assemblies.,N/A,3.7 ,simplyhired.com/job/lWC1t67PivNRKbd-gBqjwhIv7a2xG-a9r0dzd1ZIBmaoK8ogoPQxxg
Senior Cyber Security Software Engineer,Raytheon Missiles & Defense,"Woburn, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Mathematics, Software Engineering, or related field…",N/A,3.7 ,simplyhired.com/job/LNN4uVHjDrHH6MZu2AgYcl6LEZHfCoR0CeKFnS0Bj8i4Ezep7t8Ksw
Minimum $20k Sign-On Bonus** Electro-Optics - Senior Optical Subsystems Engineer,Raytheon Missiles & Defense,"Tucson, AZ",This candidate shall be able to perform a broad range of electro-optical (EO) subsystem engineering tasks related to infrared advanced missile seekers and…,N/A,3.7 ,simplyhired.com/job/1_yyOB3dRKSWJ-j_Q8WIa-X3nY6bK2DtBIH1ithDsQY54f5cFDAr4A
"Senior Design Engineer, Harness and Interconnect",Raytheon Missiles & Defense,"Tucson, AZ",Mechanical design experience in electrical/mechanical packaging and harnessing. Technical knowledge sufficient to perform complex tasks such as preparation of…,N/A,3.7 ,simplyhired.com/job/ZUvMgDFaxyGmPj4bu0JMSSD4Wa2bl5pyC1wKnJwfjcVXJewPWc0gEw
Senior Risk Engineer,Liberty Mutual Insurance,"Philadelphia, PA","Advanced knowledge, skills and experience in a specialized field, service planning and delivery, risk assessment, risk analysis, solutions management and…","$84,000 - $140,000 a year",3.6 ,simplyhired.com/job/fHhyfRAW0khgtvLtSOQJUAsDZVL0A_Cjyi-tfYiAYUQS3u04bFSDrw
Sr. Controls Actuation Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ",You will be expected to apply sound mechanical engineering principles to solve complex system problems while teaming with a cross-discipline team including…,N/A,3.7 ,simplyhired.com/job/1LQYJjsd9FYSjJ6tis9tdtis-dUmQOAVSwZ4xY6vwidztEbzBJ0byQ
"INFRASTRUCTURE Engineers, Civil, ME&P consulting, and Land Surveyors","STEP, Inc.","Bensalem, PA",_*Many clients have needs for full time permanent construction inspectors and certified building inspectors. Others have a direct path to owner equity!*.,"Estimated: $75,000 - $160,000 a year",N/A,simplyhired.com/job/J-hnE0xSYQSNsWv68Z5l6Gt2MJ5gAtkRDbMuVKv61cbRc__wK1xHqA
Minimum $20k Sign-On Bonus** Senior Electro-Optics Systems Engineer,Raytheon Missiles & Defense,"Tucson, AZ",This candidate shall be able to perform a broad range of electro-optical (EO) subsystem engineering tasks related to infrared advanced missile seekers and…,N/A,3.7 ,simplyhired.com/job/m659v3CiA_NK5JlDt9yxrhKrD822VQ6u5pVbfr4ctbibr_7z7j1A8A
"Senior Data Engineer, Investments Technology",Liberty Mutual Insurance,"Boston, MA","You will be a vital member of our agile team helping to implement the technical components, mentoring junior staff, performing hands on coding as well as…","$128,500 - $165,000 a year",3.6 ,simplyhired.com/job/wuEfRLEx25bMIprhxTlc7Y_YOe-zPguGHmj99ghlhHNRTI4GRxhgKw
"Senior Engineer, Validations",DISCGENICS INC,"Salt Lake City, UT","Support process engineer efforts for pre-validation, risk assessment, and quality by design efforts. B.S./B.A. in Engineering, Microbiology, Chemistry,…",Estimated: $82.9K - $105K a year,N/A,simplyhired.com/job/UFmyJBiRLarbiOBDCA8klrsvr4gWlnplNRlcGFxnnKF_3wvzoMq2vg
Senior Software Engineer,ClosedLoop,"Austin, TX",Write code in Scala and/or Python for backend and API services and develop unit and integration tests to ensure quality of the code.,Estimated: $123K - $156K a year,4.3 ,simplyhired.com/job/SaXMUpAGIxS1665TBt__L1Xskt3fLYhdx39IE6w03sk96RvLubDmFA
"Senior Software Engineer, SRE (Virtual)",Home Depot / THD,"Atlanta, GA","Experience with front end technology such as HTML, CSS, and Javascript/Typescript frameworks, an object-oriented programming language (preferably Java),…","$180,000 a year",3.7 ,simplyhired.com/job/Jet1lERlSdIsC5SkDRsChq82Tot6Md9wKllwRgy3xJSwbQVlxbvjoQ
Senior Systems Engineer,"ENSCO, Inc.","Orcutt, CA","Review and assess contractor designs, artifacts and provide feedback on potential alternative system design approaches that adhere to mission requirements,…","Estimated: $105,000 - $125,000 a year",4.1 ,simplyhired.com/job/J5cDk6Hxxq136fMNqR0ZPk5OOmlwHNxPyxo4wAxDcnMjMrJBPvga-Q
Minimum $20K Sign-On Bonus** - Senior Systems Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Systems engineering, architecture, and/or design. Experience with model-based systems engineering and associated tools. Current DoD TS/SSBI clearance.",N/A,3.7 ,simplyhired.com/job/WpTiM8hcHAuDkb9PySpvkQpRbnmzvSq6vSppuqXWayAMOhdGn3jP3Q
Senior Principal Digital Design Electrical Engineer,Raytheon Missiles & Defense,"Huntsville, AL","Experience with embedded test techniques, design for test, design margin analysis and design for production. The Engineer must be experienced in all aspects of…",N/A,3.7 ,simplyhired.com/job/97Ui0Untjdht02mGD7MV2vq2iEZbKwKI6mXFqMKp3Sa4u3o4P03SrA
Minimum $40K Sign-On Bonus** Senior Principal Modeling Simulation & Analysis Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Our Performance Simulation teams provide, develop, and maintain high fidelity performance simulations, evaluate system performance, support new business…",N/A,3.7 ,simplyhired.com/job/zM9xPgdXS_idHStV1DZC6AZMnlcWdyFtuBhCeBfp0wlsoe3Jbed1eA
Senior DevOps Engineer,ClosedLoop,"Austin, TX",Collaborate and contribute with other engineering teams members on implementation and rollout on new features. Experience in building a robust CI/CD system.,Estimated: $124K - $157K a year,4.3 ,simplyhired.com/job/JYlsQbgj35k5oFLA9eZNfxWv9eKRGj2FWIv6hMuJrU5QMm-gQHItQA
Architect / Engineer Building Envelope Specialist (Entry Level 0-3 Years),Walker Consultants,"Chicago, IL",Analyze field data and prepare technical reports for clients that summarize the investigation and recommendations.,Estimated: $62.1K - $78.7K a year,4.1 ,simplyhired.com/job/NGeVDlP6mxW2C8YHuZCm6I_jD_eAfkVE_jpgM9twKfiOCnSCMArd9A
Senior Software Engineer,Verifone,"Dallas, TX","Depending on projects, the design could be from concept stage or from existing reference design. Firmware design and engineering experience.",Estimated: $107K - $136K a year,3.4 ,simplyhired.com/job/afmQciAoweTOmlaRRNVSVxakFJujo9usn6AWgLA_Z9klrEmfuYFdvg
Senior Network Engineer - Duke Health Technology Solutions - Hybrid,Duke Health,"Durham, NC","Requires valid North Carolina driver's license. Provide technical support on data, voice or video networks for internal and/or external customers; answers…",N/A,3.8 ,simplyhired.com/job/2IBp17dLxqjqKZFsY-57eSqspxUF7qNdqdi_q_hAhc76U-d-_NIL2Q
"Engineer I, II, or Senior - Transmission Planning",Southwest Power Pool,"Little Rock, AR","Good knowledge of several power systems analysis tools applicable to power system steady state, dynamic, short circuit, or database management systems.",Estimated: $86K - $109K a year,4.1 ,simplyhired.com/job/NeKrzf5k_uH74FulkxOk9J9leP575woy5o2JFqANI6FD0e7w7eSddQ
Senior Systems Engineer - Integrate Fire Control Systems,Raytheon Missiles & Defense,"Saint Petersburg, FL","Typically requires a Bachelor’s in Science, Technology, Engineering, or Mathematics (STEM) and 5 years of prior relevant experience or an Advanced Degree in a…",N/A,3.7 ,simplyhired.com/job/EjfLD4YNlJxMzKzfFffp1T_1VqIc6D_gZ7nnX7frvTf9JFMRu9W96Q
Minimum 20k Sign-On Bonus - Senior RF Mechanical Engineer,Raytheon Missiles & Defense,"Tucson, AZ",Master of Science (MS) in mechanical engineering or electrical engineering. A minimum of five (5) years of professional experience performing design and…,N/A,3.7 ,simplyhired.com/job/aFCWSe743ylS9lHQudDMFs8cTI1LlbVKvmzuNkcBOPUKOXP668EIxQ
Senior Principal Electrical Engineer - CCA Design - HYBRID - SC5,Raytheon Missiles & Defense,"Marlborough, MA",Experience using engineering CAD tools such as Mentor Graphics Xpedition Designer for the design of complex circuit board assemblies.,N/A,3.7 ,simplyhired.com/job/iBFVL5KUlyogDl9K8dv6oKIGCLuTtE6nJz2v3EanTmGhnO5-QkZH5Q
Senior Systems Engineer - Sensor Systems,Raytheon Missiles & Defense,"Woburn, MA","In this role, the individual may: perform functional / physical analysis, allocation, and trade studies; support engineering integration, production, system…",N/A,3.7 ,simplyhired.com/job/oek-dQa6HI9Bx_19YZ70UXTAVzSyYR234d6cRf3kaerf_dlE9HpCCg
Senior Production Test Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Experience in electronics/electrical engineering, basic mechanical engineering, or computer programming. Ability to develop sustaining solutions to routine…",N/A,3.7 ,simplyhired.com/job/MiSurizTMrBIxWOyvpETyTep30hRDRIoAH4hDYM4DLhU-CNd0z6OJw
Senior Software Systems Engineer,Cimetrix by PDF Solutions,"Milpitas, CA","Coordinate and work with software, application, manufacturing, engineering and outside consultants. The main goal is to improve system performance and…","Estimated: $120,000 - $150,000 a year",4.2 ,simplyhired.com/job/-U6ufmJ9S2x6Cu125XdJCdZVr4Db437nFw14pMdj5ECCRjdZyUDYpg
Senior Thermal Engineer,Raytheon Missiles & Defense,"Tucson, AZ",Act as a technical leader (help define/refine and/or develop MA&T department technical processes and tools) and/or lead analysis/test teams.,N/A,3.7 ,simplyhired.com/job/ItoN9IFBTxWA_O4KooD-rIgp3ZaCo27WKrGaIOH0GdfQzudUQWRw4g
Minimum $40K Sign-on Bonus** - Senior Principal Aerodynamic Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ","In this role, you will use various tools to model and predict aerodynamic integrated force and moments on vehicles as well as component aero loads for…",N/A,3.7 ,simplyhired.com/job/rspJP0dTO5f60Iu36K1tlSiH38s78cUgR1qCE_yrxiLelGe3r1hYAQ
